name,longitude,latitude
Millennium Line,-122.972018,49.261825
Millennium Line,-122.974538,49.262832
Millennium Line,-122.975588,49.263197
Millennium Line,-122.976161,49.263395
Millennium Line,-122.977799,49.263977
Millennium Line,-122.978391,49.264188
Millennium Line,-122.97893,49.264357
Millennium Line,-122.979505,49.264502
Millennium Line,-122.97997,49.264573
Millennium Line,-122.980582,49.264635
Millennium Line,-122.981127,49.264675
Millennium Line,-122.983487,49.264864
Millennium Line,-122.983956,49.264883
Millennium Line,-122.985798,49.264904
Millennium Line,-122.988151,49.2649
Millennium Line,-122.98978,49.264888
Millennium Line,-122.991334,49.264919
Millennium Line,-122.992388,49.265021
Millennium Line,-122.993487,49.265303
Millennium Line,-122.994599,49.265639
Millennium Line,-122.995751,49.265984
Millennium Line,-122.997083,49.26621
Millennium Line,-122.998494,49.266341
Millennium Line,-123.000069,49.266355
Millennium Line,-123.004774,49.266493
Millennium Line,-123.007498,49.266496
Millennium Line,-123.008912,49.266448
Millennium Line,-123.009617,49.266392
Millennium Line,-123.009663,49.266393
Millennium Line,-123.010601,49.266323
Millennium Line,-123.011043,49.266262
Millennium Line,-123.011505,49.266132
Millennium Line,-123.0123,49.265752
Millennium Line,-123.012812,49.2654
Millennium Line,-123.014282,49.264512
Millennium Line,-123.014572,49.264295
Millennium Line,-123.01487,49.263846
Millennium Line,-123.015113,49.263286
Millennium Line,-123.015439,49.262865
Millennium Line,-123.016127,49.262527
Millennium Line,-123.016818,49.262385
Millennium Line,-123.018135,49.262356
Millennium Line,-123.023284,49.262428
Millennium Line,-123.025327,49.262484
Millennium Line,-123.026312,49.262474
Millennium Line,-123.027173,49.262417
Millennium Line,-123.028008,49.262258
Millennium Line,-123.03128,49.261276
Millennium Line,-123.032513,49.26093
Millennium Line,-123.034351,49.260362
Millennium Line,-123.035295,49.260213
Millennium Line,-123.051328,49.258106
Millennium Line,-123.05257,49.257946
Millennium Line,-123.053397,49.257878
Millennium Line,-123.054087,49.257878
Millennium Line,-123.054841,49.257914
Millennium Line,-123.055816,49.258021
Millennium Line,-123.056509,49.258174
Millennium Line,-123.057504,49.258517
Millennium Line,-123.068,49.262808
Millennium Line,-123.070074,49.263444
Millennium Line,-123.071272,49.263726
Millennium Line,-123.073586,49.264462
Millennium Line,-123.076733,49.265426
Millennium Line,-123.077922,49.265647
Millennium Line,-123.079139,49.26587
